"Ticker","Nome","Negócios","Última (R$)","Variação"
"TECN3","Technos","423.300","4,11","-3,52%"
"MELK3","Melnick","409.500","3,87","-0,26%"
"PRNR3","Priner","402.300","11,58","-0,43%"
"DESK3","Desktop","395.600","16,22","+2,21%"
"FESA4","Ferbasa","395.000","8,32","+0,60%"
"ARML3","Armac","392.500","10,61","+1,14%"
"VULC3","Vulcabras","389.100","15,34","-0,20%"
"BMGB4","Banco BMG","368.000","3,36","+1,82%"
"OPCT3","OceanPact","360.600","6,42","+1,42%"
"CMIG3","CEMIG","352.200","12,89","+0,47%"
"ABCB4","Banco ABC Brasil","334.100","22,10","+1,66%"
"LAVV3","Lavvi Incorporadora","332.600","8,94","+0,68%"
"JALL3","Jalles Machado","331.800","6,85","-0,72%"
"PFRM3","Profarma","316.600","5,38","-1,28%"
"ESPA3","Espaçolaser","298.100","1,16","-2,52%"
"PTBL3","Portobello","298.000","4,47","+0,00%"
"AGXY3","AgroGalaxy","296.900","1,30","-3,70%"
"PGMN3","Pague Menos","289.800","2,50","+1,63%"
"BRIT3","Brisanet","286.300","3,95","-1,25%"
"USIM3","Usiminas","280.400","7,38","+1,23%"
"HBOR3","Helbor","279.300","2,44","+0,83%"
"NEOE3","Neoenergia","279.000","19,54","-0,31%"
"VLID3","Valid","275.200","17,12","+2,64%"
"TRAD3","Traders Club","271.900","0,72","+2,86%"
"MDNE3","Moura Dubeux","269.400","11,71","-0,17%"
"ITUB3","Itaú Unibanco","264.500","27,42","-0,07%"
"ETER3","Eternit","255.100","6,36","-3,64%"
"WIZC3","Wiz Soluções","254.000","6,20","+1,14%"
"TASA4","Taurus","244.200","11,34","-0,53%"
"RCSL4","Recrusul","237.900","0,37","+0,00%"
"KEPL3","Kepler Weber","237.600","9,76","-0,51%"
"AMAR3","Lojas Marisa","233.400","1,81","+2,26%"
"PORT3","Wilson Sons","215.700","15,68","+0,00%"
"VITT3","Vittia","213.900","5,33","+2,30%"
"BMOB3","Bemobi","200.900","13,03","-0,15%"
"ORVR3","Orizon","195.300","40,25","-0,37%"
"POMO3","Marcopolo","192.900","5,50","+2,23%"
"SGPS3","Springs","190.900","0,53","-1,85%"
"TUPY3","Tupy","190.600","23,34","-0,38%"
"AERI3","Aeris Energy","188.300","8,43","-5,60%"
"MBLY3","Mobly","184.700","2,04","-0,97%"
"PNVL3","Dimed","179.700","10,69","+2,20%"
"KLBN3","Klabin","179.500","4,19","+0,48%"
"LUPA3","Lupatech","176.200","1,65","-0,60%"
"ALLD3","Allied","171.200","6,72","-3,59%"
"TPIS3","Triunfo","166.700","4,41","+6,78%"
"RSID3","Rossi Residencial","164.500","5,20","-1,52%"
"LEVE3","Mahle Metal Leve","158.300","32,48","-0,31%"
"HBRE3","HBR Realty","150.000","4,90","+2,51%"
"SOJA3","Boa Safra Sementes","146.800","16,67","+0,85%"
"TAEE4","Taesa","139.700","11,76","-1,01%"
"AGRO3","BrasilAgro","136.600","25,27","-0,28%"
"JSLG3","JSL","131.200","10,00","-0,70%"
"TFCO4","Track & Field","129.600","11,69","-0,51%"
"RNEW4","Renova Energia","120.700","0,98","-1,01%"
"ROMI3","Indústrias ROMI","117.200","10,51","+0,10%"
"ITSA3","Itaúsa","114.100","10,00","+0,20%"
"RPMG3","Refinaria de Manguinhos","113.300","2,76","+10,40%"
"LOGG3","LOG CP","112.500","22,19","+0,86%"
"SAPR3","Sanepar","111.800","5,32","-0,56%"
