index;Publishing Year;Book Name;Author;language_code;Author_Rating;Book_average_rating;Book_ratings_count;genre;gross sales;publisher revenue;sale price;sales rank;Publisher ;units sold
1001;20110;Sing You Home;Jodi Picoult;en-US;Intermediate;376;62494;genre fiction;51624;309744;478;1184;Amazon Digital Services,  Inc.;108
1002;19920;The Tale of the Body Thief;Anne Rice;en-US;Intermediate;37;67267;fiction;21492;128952;199;1186;HarperCollins Publishers;108
1003;20050;The Camel Club;David Baldacci;eng;Excellent;402;58973;nonfiction;13932;83592;129;1187;Amazon Digital Services,  Inc.;108
1004;20060;Saving The World and Other Extreme Sports;James Patterson;en-US;Excellent;416;75436;genre fiction;74844;449064;693;1190;Hachette Book Group;108
1005;19960;Blood of the Fold;Terry Goodkind;en-US;Intermediate;398;60624;genre fiction;10692;64152;99;1192;Amazon Digital Services,  Inc.;108
1006;20060;The Boleyn Inheritance;Philippa Gregory;eng;Intermediate;384;62135;genre fiction;64692;388152;599;1193;Hachette Book Group;108
1007;20150;A Spool of Blue Thread;Anne Tyler;eng;Novice;34;42339;genre fiction;118692;712152;1099;1194;Penguin Group (USA) LLC;108
1008;20160;The Underground Railroad;Colson Whitehead;eng;Excellent;404;72052;genre fiction;53892;0;499;1195;Amazon Digital Services,  Inc.;108
1009;20070;Masquerade;Melissa de la Cruz;en-US;Intermediate;391;76598;genre fiction;10692;64152;99;1196;Amazon Digital Services,  Inc.;108
1010;20110;The Iron Queen;Julie Kagawa;eng;Excellent;424;82373;nonfiction;43092;0;399;1196;Amazon Digital Services,  Inc.;108
1011;20120;Losing It;Cora Carmack;eng;Intermediate;377;84438;genre fiction;53892;323352;499;1197;HarperCollins Publishers;108
1012;20120;The Racketeer;John Grisham;;Intermediate;379;48286;genre fiction;32292;193752;299;1198;Amazon Digital Services,  Inc.;108
1013;19990;Disgrace;J.M. Coetzee;eng;Intermediate;383;50422;fiction;107892;647352;999;1198;Random House LLC;108
1014;19280;The House at Pooh Corner;A.A. Milne, Ernest H. Shepard;en-US;Excellent;436;69102;genre fiction;21492;0;199;1199;Amazon Digital Services,  Inc.;108
1015;20100;The Black Prism;Brent Weeks;en-US;Excellent;424;58906;genre fiction;43092;0;399;1199;Amazon Digital Services,  Inc.;108
1016;20040;The Mermaid Chair;Sue Monk Kidd;eng;Novice;31;62760;genre fiction;32292;0;299;1199;Amazon Digital Services,  Inc.;108
1017;19700;Frog and Toad Are Friends;Arnold Lobel;eng;Excellent;418;70119;nonfiction;32292;193752;299;1200;HarperCollins Publishers;108
1018;20020;The Carnivorous Carnival;Lemony Snicket, Brett Helquist;en-US;Intermediate;397;83981;genre fiction;10593;0;99;1201;Amazon Digital Services,  Inc.;107
